"db","version","analysis","n","or","lo","hi","p"
"eICU","lenient","ow",4632,0.876,0.668,1.149,0.339
"eICU","lenient","iptw",4632,0.787,0.599,1.033,0.0845
"eICU","lenient","mg_gt23_ow",1474,0.582,0.302,1.12,0.1052
"eICU","lenient","interaction",4632,0.477,NA,NA,0.0066
"eICU","lenient","composite_ow",4632,0.884,0.711,1.099,0.266
"eICU","strict","ow",4079,0.867,0.641,1.173,0.3557
"eICU","strict","iptw",4079,0.752,0.553,1.022,0.0686
"eICU","strict","mg_gt23_ow",1298,0.517,0.255,1.051,0.0685
"eICU","strict","interaction",4079,0.445,NA,NA,0.0067
"eICU","strict","composite_ow",4079,0.871,0.693,1.095,0.2376
"MIMIC","lenient","ow",1411,1.087,0.784,1.506,0.6178
"MIMIC","lenient","iptw",1411,1.178,0.827,1.679,0.3647
"MIMIC","lenient","mg_gt23_ow",343,0.973,0.462,2.051,0.9425
"MIMIC","lenient","interaction",1411,0.969,NA,NA,0.8985
"MIMIC","lenient","composite_ow",1411,1.018,0.739,1.401,0.9153
"MIMIC","strict","ow",1374,0.962,0.669,1.384,0.8342
"MIMIC","strict","iptw",1374,0.864,0.57,1.31,0.4919
"MIMIC","strict","mg_gt23_ow",307,0.401,0.081,1.978,0.2615
"MIMIC","strict","interaction",1374,0.611,NA,NA,0.2508
"MIMIC","strict","composite_ow",1374,0.897,0.629,1.279,0.5478
