model,term,estimate,conf.low,conf.high,p.value,n_events
ALL_mg_elevation,Serum Mg elevation (pipeline),0.17168947150616315,0.09886162457549998,0.24451731843682634,3.930936322929813e-6,3632
ALL_vent_arrhythmia,VT/VF (positive control),1.0278478715220403,0.7291451022178833,1.4489177034569092,0.8753768579097332,375
ALL_aki_Delta >=0.3,Delta >=0.3,0.9434443495041005,0.7476850587414924,1.1904574395393364,0.6235856397314172,943
ALL_aki_KDIGO >=1,KDIGO >=1,0.9135270210744361,0.7394191615318789,1.1286313117774858,0.40174539804956666,1227
ALL_aki_Ratio >=1.5x,Ratio >=1.5x,0.8968356507801519,0.7120686041142896,1.129545917153178,0.3548472056103398,908
ALL_aki_Stage >=2,Stage >=2,0.8722669875355755,0.6318948261133088,1.2040764793474592,0.4059510494734381,446
ALL_aki_Stage >=3,Stage >=3,0.8524126531763976,0.501090185953549,1.450053007748553,0.5557068278971298,159
ALL_tw_AKI 1.5x <=24h,AKI 1.5x <=24h,0.9416293424644686,0.6437507655873191,1.3773433228947345,0.7565296027906472,290
ALL_tw_AKI 1.5x <=48h,AKI 1.5x <=48h,0.9452968502504304,0.7012613001018272,1.2742555948312433,0.7118847347877317,483
ALL_tw_AKI 1.5x <=72h,AKI 1.5x <=72h,0.9530349469451174,0.7238803778992179,1.2547316349900248,0.7316770682677918,577
ALL_peak_cr,Peak Cr ratio diff,-0.06816782781121658,-0.15727924647505692,0.020943590852623817,0.1337486741566952,3681
ALL_matched_Delta >=0.3,Delta >=0.3,0.9412811620748897,0.7271784806621808,1.2180463500089749,0.6454086189999256,303
ALL_matched_KDIGO >=1,KDIGO >=1,0.9715742793793297,0.7677164054982295,1.2294490158298728,0.8102134589254372,406
ALL_matched_Ratio >=1.5x,Ratio >=1.5x,0.8971336164325365,0.6960390176273553,1.155735082481684,0.40111849340760763,319
ALL_matched_Stage >=2,Stage >=2,0.7681456499921722,0.5472256410955096,1.0745894912042586,0.12484639708241801,156
ALL_matched_Stage >=3,Stage >=3,0.6944417961674534,0.40273809090406326,1.179430432522114,0.1811115390955666,58
ALL_ow,OW ratio >=1.5x,0.9241203271447004,0.749247524811337,1.1398080751178559,0.46083808879469434,908
ALL_sec_Hospital mortality,Hospital mortality,0.6535846242104383,0.44832925137150603,0.952810595555642,0.027025166552475027,353
ALL_nc_Fracture,Fracture,1.0055588901634493,0.5604144502202139,1.804287311273682,0.9851685692390639,100
ALL_nc_UTI,UTI,0.6088667203773179,0.4345095829504421,0.8531887390509252,0.003958117634889832,404
ALL_neuro_Delirium,Delirium,0.711566190179119,0.4711677361215447,1.0746203616866747,0.10567460769643754,265
ALL_neuro_Encephalopathy,Encephalopathy,0.47284170664328584,0.26114879233472515,0.8561375204629109,0.013421608483037157,184
HYPO_aki_Delta >=0.3,Delta >=0.3,0.8803845849233325,0.674126607084541,1.149749927128195,0.34938904196947695,401
HYPO_aki_KDIGO >=1,KDIGO >=1,0.9004900065011192,0.7089772266898745,1.1437352587392586,0.3900514052229952,545
HYPO_aki_Ratio >=1.5x,Ratio >=1.5x,0.8701646603238561,0.6706534193997792,1.1290280704960811,0.295076868871415,410
HYPO_aki_Stage >=2,Stage >=2,0.6779679448639678,0.4736580151240243,0.9704059038095623,0.03367445627093945,202
HYPO_aki_Stage >=3,Stage >=3,0.7230855359691815,0.4019558147009986,1.3007715604680847,0.27896594353020626,71
HYPO_tw_AKI 1.5x <=24h,AKI 1.5x <=24h,0.686527907059477,0.444318725410721,1.0607713342168612,0.0901813904779443,127
HYPO_tw_AKI 1.5x <=48h,AKI 1.5x <=48h,0.7629941389287506,0.5424462977682231,1.0732123316811193,0.12009938447587186,214
HYPO_tw_AKI 1.5x <=72h,AKI 1.5x <=72h,0.7836946961137717,0.5705554402732834,1.0764552107726457,0.13222823656194307,253
HYPO_sec_Hospital mortality,Hospital mortality,0.880464163203457,0.579624593615801,1.337446946220176,0.5504264510176595,141
HYPO_nc_Fracture,Fracture,1.0298454994549642,0.5604532676917022,1.8923642949139798,0.9244825563456844,64
HYPO_nc_UTI,UTI,0.7594383681675301,0.5346610966836695,1.0787144204475216,0.12426307696589281,210
HYPO_matched_KDIGO >=1,KDIGO >=1,0.9211530309455895,0.7066244028554934,1.2004220662256588,0.5433090879538742,327
HYPO_matched_Ratio >=1.5x,Ratio >=1.5x,0.9187933610298427,0.6904445074646457,1.2220593397052455,0.5606366124268114,254
HYPO_matched_Stage >=2,Stage >=2,0.8100939804450976,0.5500694336185697,1.1887891848130268,0.28301995996369206,119
HYPO_matched_Hospital mortality,Hospital mortality,0.9715628941643089,0.6054251166812576,1.557803295821591,0.9044070137941567,75
