outcome,eicu_or,eicu_lo,eicu_hi,mimic_or,mimic_lo,mimic_hi,pooled_or,pooled_lo,pooled_hi,pooled_p,I2
KDIGO Stage >=1,0.7688006635554938,0.6052776618158244,0.9765013605660132,0.913527021074436,0.7394191615318789,1.1286313117774858,0.8469437533489053,0.722868021864562,0.992316300680304,0.039836657082029665,10.838029927351542
Ratio >=1.5x,0.7958124546824208,0.6059397392509052,1.0451822549394114,0.8968356507801519,0.7120686041142896,1.129545917153178,0.8532013693815929,0.7154415733274927,1.0174871070588538,0.07722065280671174,0
Delta >=0.3,0.8527833682355009,0.6665550750957475,1.0910418363173091,0.9434443495041004,0.7476850587414924,1.1904574395393364,0.8995871066537922,0.7596191790915344,1.0653456162409842,0.22005067210002163,0
Stage >=2,0.9543893446752356,0.73085553663598,1.246291470161361,0.8722669875355755,0.6318948261133088,1.2040764793474592,0.9201038339003227,0.7491375080657457,1.1300876755509806,0.42722669287711207,0
Stage >=3,0.968905336882603,0.6660306155637432,1.4095111094029638,0.8524126531763976,0.501090185953549,1.450053007748553,0.9285238787334634,0.6835627999733208,1.2612690354300808,0.6350891867916671,0
AKI 1.5x <=48h,0.6753871366303643,0.460498078148089,0.9905530684518348,0.9452968502504304,0.7012613001018272,1.2742555948312433,0.8324529759398481,0.6577891404961913,1.053495587702123,0.1269457041983693,45.68934802652267
AKI 1.5x <=72h,0.73942604123088,0.5293593286164342,1.0328539441807751,0.9530349469451174,0.7238803778992179,1.2547316349900248,0.8602169554970638,0.6956319322447514,1.0637424422665591,0.16462529230338024,24.282378445617468
Mortality (all+all),0.9357496934071344,0.6368716916904029,1.3748883804011305,0.6535846242104383,0.448329251371506,0.952810595555642,0.7791618022482085,0.5952320892446489,1.019926722789894,0.06931219365195161,41.357809966903645
Mortality (hypo+all),0.6615659620082972,0.4592617973368908,0.9529848217854532,0.6535846242104383,0.448329251371506,0.952810595555642,0.6576917661763955,0.5059943244921037,0.8548682037696982,0.0017354679054590258,0
Fracture (neg ctrl),1.0724060552590693,0.5514626578181419,2.08546259851302,1.0055588901634491,0.5604144502202139,1.804287311273682,1.0341680383859353,0.6666431522860258,1.6043118840289818,0.8807897482091122,0
Encephalopathy,0.7225414621154259,0.4134728059806742,1.262637244637315,0.47284170664328584,0.26114879233472515,0.8561375204629109,0.5921847963323829,0.39431755719266653,0.8893411581870789,0.011562251815967544,3.8601035780966804
