Step,eICU,MIMIC-IV
Total ICU admissions,"200,859","94,458"
"Adults, cardiac surgery, first stay","26,715","13,706"
Mg within 6 h of admission,"9,379","3,913"
Baseline creatinine available,"8,650","3,746"
Excluded: Cr ≥4.0 or ESKD,−541,—
Eligible cohort,"8,109","3,746"
All-patient TTE (complete covariates),"7,924","3,746"
  Supplemented,"1,104 (13.9%)",647 (17.3%)
  Not supplemented,"6,820","3,099"
"HypoMg TTE (Mg <2.0, complete)","3,068","1,780"
  Supplemented,759 (24.7%),509 (28.6%)
  Not supplemented,"2,309","1,271"
