"db","stratum","analysis","n","n_trt","mg_mean","mg_sd","or","lo","hi","p","logOR","se","max_smd"
"eICU","<1.8","all_ow",1036,266,1.50251930501931,0.209170260062441,1.013,0.605,1.695,0.9623,0.0124,0.263,0
"eICU","<1.8","ac_ow",242,99,1.53429752066116,0.19711119698594,1.351,0.61,2.992,0.4576,0.3012,0.4055,0
"eICU","1.8-2.0","all_ow",781,162,1.85303457106274,0.0514520945548244,0.96,0.652,1.412,0.834,-0.0413,0.1971,0.0085
"eICU","1.8-2.0","ac_ow",164,65,1.85128048780488,0.0547739973215637,0.895,0.37,2.167,0.8064,-0.1105,0.4509,0.0044
"eICU","2.0-2.3","all_ow",1076,83,2.09367100371747,0.0820629340758126,0.954,0.564,1.613,0.8598,-0.0474,0.2682,0.0219
"eICU","2.0-2.3","ac_ow",252,49,2.09456349206349,0.0813543717405693,0.958,0.402,2.283,0.9227,-0.043,0.443,0.0174
"eICU",">2.3","all_ow",1739,95,2.74321449108683,0.465173125025064,0.553,0.327,0.937,0.0278,-0.592,0.269,0.0255
"eICU",">2.3","ac_ow",393,77,2.68615776081425,0.342581355669155,0.497,0.241,1.026,0.0587,-0.6982,0.3694,0.0081
"eICU","interaction","trt_x_mg",4632,606,NA,NA,0.476,NA,NA,0.0064,-0.7413,0.2719,NA
"MIMIC","<1.8","all_ow",323,121,1.54674922600619,0.174313976441763,1.098,0.637,1.893,0.7367,0.0935,0.278,0.0054
"MIMIC","<1.8","ac_ow",87,47,1.52068965517241,0.162207110670911,1.202,0.378,3.819,0.7556,0.1837,0.59,0.0095
"MIMIC","1.8-2.0","all_ow",323,72,1.85789473684211,0.0494494038754939,1.054,0.535,2.075,0.8799,0.0522,0.3457,1e-04
"MIMIC","1.8-2.0","ac_ow",76,34,1.86315789473684,0.0485581582933507,0.571,0.152,2.139,0.4054,-0.5609,0.6742,0.0027
"MIMIC",">2.3","all_ow",406,51,2.935960591133,0.591534884373492,1.121,0.547,2.296,0.7551,0.1141,0.3658,0.0445
"MIMIC",">2.3","ac_ow",144,37,3.08333333333333,0.596141439076848,0.75,0.28,2.004,0.5657,-0.2881,0.5016,0.0181
"MIMIC","interaction","trt_x_mg",1411,255,NA,NA,0.98,NA,NA,0.9362,-0.0201,0.2519,NA
