"or","or_lo","or_hi","p","rate_trt","rate_ctl","n","events_trt","events_ctl","phenotype","outcome","db","bonferroni_sig"
0.9648,0.7785,1.1956,0.743012,0.3272,0.3351,755,247,253,"is_female + heart_failure","aki_7d","MIMIC",FALSE
0.9707,0.7837,1.2023,0.785148,0.2955,0.3017,802,237,242,"age_ge65 + surg_cabg","aki_7d","MIMIC",FALSE
1.0328,0.726,1.4691,0.857767,0.2816,0.2751,309,87,85,"is_female + surg_cabg","aki_7d","MIMIC",FALSE
1.0505,0.7976,1.3835,0.725993,0.2923,0.2823,496,145,140,"surg_cabg + bmi_ge30","aki_7d","MIMIC",FALSE
1.1138,0.887,1.3986,0.35371,0.3139,0.2912,704,221,205,"is_female + diabetes","aki_7d","MIMIC",FALSE
1.1239,0.8639,1.4623,0.384143,0.3007,0.2768,542,163,150,"surg_cabg + diabetes","aki_7d","MIMIC",FALSE
1.1474,0.9061,1.4529,0.253755,0.3031,0.2749,673,204,185,"is_female + bmi_ge30","aki_7d","MIMIC",FALSE
1.1488,0.9757,1.3528,0.096043,0.3524,0.3215,1291,455,415,"age_ge65 + heart_failure","aki_7d","MIMIC",FALSE
1.1939,1.0227,1.3937,0.02481,0.3302,0.2923,1502,496,439,"age_ge65 + is_female","aki_7d","MIMIC",FALSE
1.2388,0.8544,1.7962,0.258515,0.364,0.316,250,91,79,"surg_cabg + heart_failure","aki_7d","MIMIC",FALSE
1.2597,1.0115,1.5688,0.039186,0.3554,0.3044,726,258,221,"diabetes + heart_failure","aki_7d","MIMIC",FALSE
1.2671,1.0285,1.561,0.026124,0.3103,0.2621,870,270,228,"diabetes + bmi_ge30","aki_7d","MIMIC",FALSE
1.2894,1.092,1.5226,0.002724,0.3476,0.2924,1286,447,376,"age_ge65 + diabetes","aki_7d","MIMIC",FALSE
1.2977,1.0789,1.5609,0.005681,0.3327,0.2776,1070,356,297,"age_ge65 + bmi_ge30","aki_7d","MIMIC",FALSE
1.3485,1.057,1.7203,0.016114,0.3568,0.2915,597,213,174,"heart_failure + bmi_ge30","aki_7d","MIMIC",FALSE
1.4427,0.8666,2.4017,0.158717,0.3939,0.3106,132,52,41,"egfr_lt60 + surg_cabg","aki_7d","MIMIC",FALSE
1.4509,1.093,1.9259,0.010009,0.3811,0.2979,433,165,129,"is_female + egfr_lt60","aki_7d","MIMIC",FALSE
1.5562,1.2118,1.9984,0.000529,0.3896,0.2908,557,217,162,"egfr_lt60 + heart_failure","aki_7d","MIMIC",TRUE
1.5728,1.2716,1.9453,3e-05,0.3866,0.2861,776,300,222,"age_ge65 + egfr_lt60","aki_7d","MIMIC",TRUE
1.5859,0.971,2.59,0.065391,0.3904,0.2877,146,57,42,"surg_cabg + ckd","aki_7d","MIMIC",FALSE
1.691,1.2733,2.2456,0.000284,0.4188,0.2988,425,178,127,"egfr_lt60 + diabetes","aki_7d","MIMIC",TRUE
1.7706,1.3505,2.3213,3.6e-05,0.4222,0.2921,469,198,137,"ckd + heart_failure","aki_7d","MIMIC",TRUE
1.8841,1.3554,2.6189,0.000163,0.4154,0.2738,325,135,89,"egfr_lt60 + bmi_ge30","aki_7d","MIMIC",TRUE
1.945,1.3652,2.7711,0.00023,0.3912,0.2483,294,115,73,"ckd + bmi_ge30","aki_7d","MIMIC",TRUE
1.9859,1.3921,2.8329,0.000154,0.4184,0.266,282,118,75,"is_female + ckd","aki_7d","MIMIC",TRUE
2.0442,1.5353,2.7217,1e-06,0.44,0.2776,425,187,118,"diabetes + ckd","aki_7d","MIMIC",TRUE
2.0894,1.6663,2.6199,0,0.4313,0.2663,691,298,184,"age_ge65 + ckd","aki_7d","MIMIC",TRUE
2.099,1.6235,2.7138,0,0.4415,0.2736,530,234,145,"egfr_lt60 + ckd","aki_7d","MIMIC",TRUE
