mg_quartile,mg_range,egfr_stratum,n,events,rate,mg_variable,db
Q1,0.50-1.80,Overall,4991,730,0.1463,First post-admission Mg,EICU
Q2,1.81-2.00,Overall,3295,449,0.1363,First post-admission Mg,EICU
Q3,2.01-2.30,Overall,3551,610,0.1718,First post-admission Mg,EICU
Q4,2.31-7.50,Overall,3648,935,0.2563,First post-admission Mg,EICU
Q1,0.50-1.80,eGFR>=60,3577,404,0.1129,First post-admission Mg,EICU
Q2,1.81-2.00,eGFR>=60,2365,250,0.1057,First post-admission Mg,EICU
Q3,2.01-2.30,eGFR>=60,2411,325,0.1348,First post-admission Mg,EICU
Q4,2.31-7.50,eGFR>=60,2456,527,0.2146,First post-admission Mg,EICU
Q1,0.50-1.80,eGFR_45-59,577,122,0.2114,First post-admission Mg,EICU
Q2,1.81-2.00,eGFR_45-59,419,66,0.1575,First post-admission Mg,EICU
Q3,2.01-2.30,eGFR_45-59,500,107,0.214,First post-admission Mg,EICU
Q4,2.31-7.50,eGFR_45-59,568,171,0.3011,First post-admission Mg,EICU
Q1,0.50-1.80,eGFR<45,837,204,0.2437,First post-admission Mg,EICU
Q2,1.81-2.00,eGFR<45,511,133,0.2603,First post-admission Mg,EICU
Q3,2.01-2.30,eGFR<45,640,178,0.2781,First post-admission Mg,EICU
Q4,2.31-7.50,eGFR<45,624,237,0.3798,First post-admission Mg,EICU
Q1,0.70-1.90,Overall,5916,838,0.1416,Last Mg before discharge/treatment,EICU
Q2,1.91-2.00,Overall,2518,354,0.1406,Last Mg before discharge/treatment,EICU
Q3,2.01-2.20,Overall,3783,672,0.1776,Last Mg before discharge/treatment,EICU
Q4,2.21-5.40,Overall,3268,860,0.2632,Last Mg before discharge/treatment,EICU
Q1,0.70-1.90,eGFR>=60,4239,454,0.1071,Last Mg before discharge/treatment,EICU
Q2,1.91-2.00,eGFR>=60,1847,201,0.1088,Last Mg before discharge/treatment,EICU
Q3,2.01-2.20,eGFR>=60,2703,400,0.148,Last Mg before discharge/treatment,EICU
Q4,2.21-5.40,eGFR>=60,2020,451,0.2233,Last Mg before discharge/treatment,EICU
Q1,0.70-1.90,eGFR_45-59,695,124,0.1784,Last Mg before discharge/treatment,EICU
Q2,1.91-2.00,eGFR_45-59,322,58,0.1801,Last Mg before discharge/treatment,EICU
Q3,2.01-2.20,eGFR_45-59,517,116,0.2244,Last Mg before discharge/treatment,EICU
Q4,2.21-5.40,eGFR_45-59,530,168,0.317,Last Mg before discharge/treatment,EICU
Q1,0.70-1.90,eGFR<45,982,260,0.2648,Last Mg before discharge/treatment,EICU
Q2,1.91-2.00,eGFR<45,349,95,0.2722,Last Mg before discharge/treatment,EICU
Q3,2.01-2.20,eGFR<45,563,156,0.2771,Last Mg before discharge/treatment,EICU
Q4,2.21-5.40,eGFR<45,718,241,0.3357,Last Mg before discharge/treatment,EICU
